id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48114044,Lugar ideal de descanso en su visita a Barcelona.,387995566,Yolanda,Sarrià-Sant Gervasi,Sarrià,41.40881,2.11213,Entire home/apt,121,2,8,2021-09-10,1.41,1,208,8,HUTB-013201
48115599,COZY & SOPHISTICATED STUDIO BARRIO GOTHIC,365078872,Fernanda & Will,Ciutat Vella,el Barri Gòtic,41.37809,2.17816,Entire home/apt,85,2,15,2021-07-13,6.00,13,77,15,Exempt
48116055,Fabulous & Chic Apartment Gothic Quarter,365078872,Fernanda & Will,Ciutat Vella,el Barri Gòtic,41.37741,2.17819,Entire home/apt,105,2,15,2021-09-29,11.54,13,49,15,Exempt
48116637,Manuel Girona Penthouse,370718107,Alexandre,Sarrià-Sant Gervasi,Sarrià,41.39284,2.12693,Entire home/apt,191,31,1,2021-06-25,0.28,9,54,1,
48117381,Bright studio near Hospital Sant Pau,1391607,Aline & Alba,Horta-Guinardó,el Baix Guinardó,41.41227,2.17292,Entire home/apt,54,3,19,2021-07-10,2.47,54,346,19,HUTB-009055
48126647,Historic Barcelona Area in Design & Chic Flat,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38217,2.17992,Entire home/apt,120,32,0,,,9,0,0,Exempt
48128500,Historic Barcelona Area in Exclusive & Cozy Flat,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38219,2.1811,Entire home/apt,120,32,0,,,9,0,0,
48128565,Two bedroom modernist apartment in Enric Granados,346367515,Stay Ukio,Eixample,l'Antiga Esquerra de l'Eixample,41.39239,2.15541,Entire home/apt,89,31,0,,,54,269,0,
48131772,Piso temporal a estrenar cerca Ramblas.,224618386,EnjoyBcn,Ciutat Vella,el Barri Gòtic,41.37849,2.17917,Entire home/apt,110,32,0,,,21,71,0,
48140127,"Suite  Real , la Boheme Chic Downtown",529756,Fabienne,Ciutat Vella,el Barri Gòtic,41.3793,2.17592,Entire home/apt,235,3,11,2021-08-30,2.75,2,197,11,Exempt
48140962,Pleasant & Chic Flat in Historic Barcelona Area,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.3817,2.18085,Entire home/apt,120,32,0,,,9,0,0,
48147040,Encantador aparto 1 dorm 2 pax en centro Bcn,173993443,Pilar,Eixample,l'Antiga Esquerra de l'Eixample,41.38431,2.15991,Entire home/apt,60,32,0,,,15,103,0,
48171698,Apartamento amplio y luminoso en Barcelona City,1035045,Montserrat,Sant Andreu,Sant Andreu,41.44135,2.18611,Entire home/apt,85,3,0,,,5,364,0,HUTB004956
48174086,Design & Pleasant Flat in Historic Barcelona Area,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38197,2.18038,Entire home/apt,120,32,0,,,9,0,0,
48174550,Historic Downtown Barcelona in Styled Chic Flat,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38018,2.17919,Entire home/apt,88,32,1,2021-04-03,0.16,9,0,1,
48175128,Historic Downtown Barcelona in Lux Designed Flat,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38199,2.17944,Entire home/apt,120,32,0,,,9,0,0,
48175694,Chic & Style space in Historic Downtown Barcelona,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38181,2.17961,Entire home/apt,120,32,0,,,9,0,0,
48176183,Luxe & Design space in Historic Downtown Barcelona,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38157,2.17942,Entire home/apt,120,32,0,,,9,0,0,
48178644,Mercat Sant Antoni 4,133379972,Pere,Eixample,Sant Antoni,41.37901,2.15784,Entire home/apt,134,2,5,2021-09-05,5,2,340,5,HUTB-006491
48179153,Mercat Sant Antoni 1,133379972,Pere,Eixample,Sant Antoni,41.37959,2.15775,Entire home/apt,149,2,0,,,2,327,0,HUTB-006492
48181684,Modern two bedroom apartment in Sagrada Familia,346367515,Stay Ukio,Eixample,la Sagrada Família,41.40099,2.17574,Entire home/apt,71,31,1,2021-06-11,0.24,54,97,1,
48181789,Modern two bedroom apartment in Sagrada Familia,346367515,Stay Ukio,Eixample,la Sagrada Família,41.40145,2.17411,Entire home/apt,71,31,1,2021-04-12,0.16,54,122,1,
48188877,Exclusive Penthouse in Historic Downtown Barcelona,387237734,Hs,Ciutat Vella,el Barri Gòtic,41.38081,2.18066,Entire home/apt,150,32,0,,,9,31,0,
48193666,Refurbished 2 bedroom apartment in Poble Sec,130223809,Daiga,Sants-Montjuïc,el Poble Sec,41.37345,2.1583,Entire home/apt,25,32,0,,,41,200,0,
48197168,Económica habitación muy cerca de centro,367041953,Evgeny,Eixample,Sant Antoni,41.38017,2.15693,Private room,26,1,0,,,5,30,0,Exempt
48213603,Sonder | Private Room near Park Güell,388714704,Sonder (Barcelona),Gràcia,la Vila de Gràcia,41.40719,2.15993,Private room,112,2,3,2021-08-19,1.32,31,201,3,HB-004768
48217416,Catalunya Palace Apartment,388661554,Fabio,Eixample,la Dreta de l'Eixample,41.38834,2.16802,Entire home/apt,547,1,0,,,4,349,0,HUTB004890
48217626,Rambla Paris Attic Apartment,388661554,Fabio,Eixample,l'Antiga Esquerra de l'Eixample,41.39467,2.15465,Entire home/apt,214,1,0,,,4,33,0,HUTB-008500
48217871,Ramblas Luxury Apartment,388661554,Fabio,Eixample,la Dreta de l'Eixample,41.38676,2.16587,Entire home/apt,440,1,0,,,4,72,0,HUTB-001256
48220182,+30Y ONLY| Modern apartment in Vila de Gracia,299462,Stay U-Nique,Eixample,la Dreta de l'Eixample,41.39872,2.16374,Entire home/apt,123,1,21,2021-09-13,2.79,101,288,21,HUTB-003531
48224342,Sonder | Le Palacete | Private Master Ensuite in Gràcia,388714704,Sonder (Barcelona),Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40871,2.16037,Private room,147,2,6,2021-06-10,0.98,31,191,6,HB-004768
48224455,Sonder | Le Palacete | Private Room + Terrace,388714704,Sonder (Barcelona),Gràcia,la Vila de Gràcia,41.4065,2.16031,Private room,131,2,8,2021-08-23,1.50,31,199,8,HB-004768
48224615,Sonder | Le Palacete | Private Apartment in Gràcia Neighborhood,388714704,Sonder (Barcelona),Gràcia,la Vila de Gràcia,41.40678,2.15984,Private room,123,2,2,2021-09-30,2,31,247,2,HB-004768
48225671,STYLISH LOFT Nr Beach 300MbWifi/AC/PARKING/SMARTTV,12210380,Andrea & Chris,Sant Martí,el Poblenou,41.40357,2.20811,Entire home/apt,142,3,18,2021-09-17,3.62,1,329,18,HUTB-005435
48229111,Room for 2 people near the Sagrada Familia,385593314,Serhii,Eixample,la Sagrada Família,41.41123,2.17643,Private room,52,1,28,2021-07-26,3.67,4,18,28,Exempt
48237763,Three-Bedroom apartment near Sagrada Família! #21,116349526,Diagonal,Eixample,el Fort Pienc,41.401588,2.18093,Entire home/apt,80,3,11,2021-09-26,2.89,5,0,11,HUTB-003047
48242108,GOTHIC PICASSO 1 APARTMENT,6099660,Barcelona Bedroom,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38371,2.18319,Entire home/apt,94,1,2,2021-09-15,0.43,30,335,2,HUTB-001228
48242113,PICASSO 5 SOLARIUM APARTMENT,6099660,Barcelona Bedroom,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38316,2.18274,Entire home/apt,99,1,3,2021-07-25,2.65,30,318,3,HUTB-001232
48249980,Preciosa habitación con cama doble,367041953,Evgeny,Eixample,la Nova Esquerra de l'Eixample,41.3819,2.15258,Private room,26,1,0,,,5,9,0,Exempt
